City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Hyattsville ,http://quickfacts.census.gov/qfd/states/24/2441250.html,Prince George's County,Maryland,city,F,2.92,38.9,22.2,35.6,285500,F,46.6,5833,33.2,764,72.5,19.2,17557,41250,1587,10.9,7.4,4.6,7.2,0,1.9,6588,9396,S,6.3,47.8,344202,0.1,20.6,84.8,6837,2.8,34,21968,0.8,41.9,17889,18045,26892,4.4,28,34,24,56534,49.2,17557,D,2.67
Kahului ,http://quickfacts.census.gov/qfd/states/15/1522700.html,Maui County,Hawaii,CDP,2,3.65,30.5,24.9,0.4,546000,S,28.2,6721,9.9,1483,82.1,3.7,26337,22700,2758,11.1,7,22,15.9,0,X,1823,356347,23.2,46.8,56.7,1329037,12.7,1.1,80,7773,X,9.4,NA,0.3,35.8,X,X,22353,53.1,16.3,20.1,8.6,59854,50.7,X,D,14.45
Bangor ,http://quickfacts.census.gov/qfd/states/23/2302795.html,Penobscot County,Maine,city,F,2.15,3.3,17.8,1.7,147200,F,49.5,14222,93.1,2733,91.7,2.2,33039,2795,3490,25.3,5.5,2,14.4,225344,-0.7,964.3,854104,22.6,S,45.1,1823980,Z,0.7,73.8,15674,-1.1,1.5,58345,1.2,5.1,32796,32673,23567,1.7,28,15.4,92.2,36246,51.8,33037,136105,34.26
Henderson ,http://quickfacts.census.gov/qfd/states/37/3730660.html,Vance County,North Carolina,city,F,2.65,5.3,25.5,64,113000,F,25.4,5639,30,1003,70.3,S,15368,30660,1603,34.8,7.5,1.4,17.3,224900,-0.2,1806.9,331447,22.8,F,44.3,499941,0,28.3,86.8,7101,-0.4,6.4,31700,0.3,8,15380,15345,16652,0.8,14.7,18.1,27.9,26353,55.6,15408,47463,8.51
Bullhead City ,http://quickfacts.census.gov/qfd/states/04/0408220.html,Mohave County,Arizona,city,S,2.36,9.9,19.6,1.3,112200,F,15.8,16739,81.9,5696,81.4,7.2,39540,8220,2597,21.2,5.4,3,23.9,0,Z,665.9,26087,S,S,63.2,570700,0.1,S,74.6,23464,-0.4,23.7,13919,1.1,15.8,39530,39383,20741,1.4,13.1,18.2,71.1,37770,50.6,39540,54644,59.38
Ridgecrest ,http://quickfacts.census.gov/qfd/states/06/0660704.html,Kern County,California,city,F,2.55,8.1,27.3,4,184200,F,22.4,10774,77.4,3728,91,S,27616,60704,1974,12,8.2,5.7,12.4,0,2.5,1329.9,11986,30.6,S,58.5,298174,0.5,S,80,11915,3.6,17.9,11779,1.2,12.3,28302,28600,27810,4.4,27.3,15,68.9,60885,49.9,27616,45541,20.77
Grandview ,http://quickfacts.census.gov/qfd/states/29/2928324.html,Jackson County,Missouri,city,F,2.56,7.9,26.2,40.8,105200,F,32.3,9467,48.4,2006,87.3,3,24475,28324,1859,14.3,8.2,4,11.2,583830,0.5,1662.1,148695,32.3,2.2,58.8,318955,0.1,S,75.9,11070,3.4,9.7,13951,0.5,11.3,24602,25307,20510,1.1,19.5,22.2,45,42092,52.4,24475,33679,14.73
South Houston ,http://quickfacts.census.gov/qfd/states/48/4869020.html,Harris County,Texas,city,S,3.44,34,33.3,1.5,83500,F,25.3,4933,65.9,623,55.6,57.9,16983,69020,1559,27.8,9.7,3.6,7.2,D,2,5564.5,106951,S,S,61.6,191625,Z,F,82.9,5258,2.4,88.1,11699,0.9,71.2,17320,17397,14952,0.6,7.8,26.2,9.9,35843,49.4,16983,15791,3.05
Archdale ,http://quickfacts.census.gov/qfd/states/37/3701720.html,Guilford County,North Carolina,city,F,2.51,5.7,23.8,4,135600,F,18.8,4378,87.8,937,83,F,11415,1720,844,9.6,5.7,1.4,15.6,305934,1.1,1389.9,211109,30.5,S,72.7,92403,0,F,86.3,4916,1.3,4,10072,0.6,8.1,11526,11554,24202,4.8,17,20.6,85.5,51332,52.4,11403,21649,8.21
Gibsonville ,http://quickfacts.census.gov/qfd/states/37/3725980.html,Alamance County,North Carolina,town,F,2.51,3.9,25.2,14.6,160100,F,12.7,2537,79.4,518,93,F,6410,25980,F,8.8,6.5,1.5,11.5,0,2.5,1834,0,F,F,73,0,0.1,F,90.8,2798,3.4,5.9,NA,0.2,7.1,6583,6640,25902,1.1,36.5,23.4,76.9,57841,53.8,6421,0,3.5
Jonesboro ,http://quickfacts.census.gov/qfd/states/05/0535710.html,Craighead County,Arkansas,city,S,2.47,4.4,24.8,18.4,133500,F,28.2,26003,74.7,4528,86.2,1.3,67263,35710,6510,23.6,7.6,2,11.8,1703739,4.6,842.2,495502,S,1.5,53.9,1335563,Z,S,71.9,28321,6.2,5.2,21225,0.4,6.2,70505,71551,23543,1.5,28,15.9,72.9,39388,51.7,67388,143998,79.87
Garden City ,http://quickfacts.census.gov/qfd/states/26/2631420.html,Wayne County,Michigan,city,S,2.71,3.2,22.4,3.4,93400,S,7,10198,92.5,2287,89.5,S,27692,31420,S,8.7,5.3,2.1,14,0,-1.2,4718.4,10525,S,S,81.8,404414,Z,S,86.8,11616,-1.9,3.3,14737,0.4,4.9,27358,27153,23514,0.8,12.3,23.5,90.2,55270,50.9,27692,28204,5.87
Ogden ,http://quickfacts.census.gov/qfd/states/49/4955980.html,Weber County,Utah,city,S,2.72,13.1,28.2,2.2,135300,F,30.8,29618,75.2,5853,80.5,7.8,82825,55980,6055,22.5,9.7,3.7,9.4,2752654,1.3,3057.2,696736,24.5,S,56.1,1018242,0.3,S,78.4,32482,1.7,30.1,12313,1.4,23.2,83903,84249,19383,1.2,17.4,19.8,63.5,42162,49.2,82827,120817,27.09
Elsmere ,http://quickfacts.census.gov/qfd/states/10/1024540.html,New Castle County,Delaware,town,F,2.68,16.7,24.2,13.1,169000,F,32.5,2287,69.6,290,75.5,F,6131,24540,410,12.5,7.6,3.8,11.2,0,0.5,6094.4,14040,24.4,F,60.7,23261,0,F,81.4,2664,0.5,23.8,4072,0.8,30,6161,6164,20771,1.7,11.7,22,59.7,47016,52.1,6131,3983,1.01
Lake in the Hills ,http://quickfacts.census.gov/qfd/states/17/1741183.html,McHenry County,Illinois,village,F,2.95,10.9,31.6,2,223300,F,7.7,9792,86.7,1389,94.6,S,28965,41183,2023,5.6,8.1,2.1,5.2,0,0.3,2791.3,207166,34.3,9.8,91,195055,Z,F,92.5,9885,-0.1,11.6,6597,0.3,16.8,29071,28939,32560,5.2,30.6,36.4,79.7,85429,50.3,28971,20903,10.38
Salem ,http://quickfacts.census.gov/qfd/states/39/3969834.html,Columbiana County,Ohio,city,S,2.25,1.6,21.2,0.7,85100,F,28.4,5323,95.9,1242,85.3,F,12303,69834,1319,24,6.2,1.2,19.1,705363,-1,1914.9,48465,24.5,F,59,322822,Z,F,80.5,5763,-1.4,2.5,27229,0.2,3,12177,12130,19188,0.4,13.7,19,95.2,34400,52.1,12299,25527,6.43
Waxhaw ,http://quickfacts.census.gov/qfd/states/37/3771460.html,Union County,North Carolina,town,F,3.07,8.6,34.6,11.2,223900,F,0.8,3165,82.1,647,94.4,F,9859,71460,F,6.4,8.8,2.9,7,0,4.9,854,0,F,F,88.4,0,Z,F,92.6,3517,14.6,6.4,NA,0.1,8.4,10347,11295,28327,2,54.1,29.6,78.1,76332,51.6,9859,0,11.54
Marana ,http://quickfacts.census.gov/qfd/states/04/0444270.html,Pima County,Arizona,town,F,2.71,8.6,25.6,2.5,222200,F,7.7,12745,82,3481,93.8,S,34961,44270,1808,4.1,7.8,3.7,14.8,243730,6.3,287.8,98840,30.3,4.1,77,748741,0.1,F,81,14726,10.7,22.1,22697,1.2,18,36756,38290,33196,3.8,39.8,27.7,68.8,71723,50.1,34575,76560,121.47
Lake Stevens ,http://quickfacts.census.gov/qfd/states/53/5337900.html,Snohomish County,Washington,city,F,2.9,7.1,29.9,1.7,262700,F,15.3,9690,85.1,2264,92,S,28069,37900,1305,9.4,8.3,5.1,6.5,0,3.7,3162,20217,25.6,2.5,74.3,198919,0.4,S,85.8,10414,6.7,8.6,14338,0.9,10.2,29107,29949,27812,3.6,22.7,31.9,80.9,71224,50.1,28068,28150,8.88
Jonesborough ,http://quickfacts.census.gov/qfd/states/47/4738540.html,Washington County,Tennessee,town,F,2.29,4.6,16.5,4.4,150900,F,23.8,2135,92.7,565,88.8,F,5051,38540,F,18.1,5.5,1.4,17.9,0,2,981.9,0,F,F,67.4,0,0,F,81.2,2318,2.6,1.8,NA,0.1,5.2,5141,5174,24581,0.6,32.2,22.5,91.8,44537,50.1,5042,0,5.14
Indian River Estates ,http://quickfacts.census.gov/qfd/states/12/1233585.html,St. Lucie County,Florida,CDP,F,2.43,4.5,16.8,3.1,110800,F,2.9,2639,92.9,814,84.5,F,6220,33585,420,11,3.7,1.4,26.6,0,X,1122.7,2638,35.2,F,84.9,7959,0.1,F,90.5,3044,X,6.3,NA,0.5,5.8,X,X,22733,0.7,11.5,25.7,88.5,43353,51.5,X,D,5.54
Prineville ,http://quickfacts.census.gov/qfd/states/41/4159850.html,Crook County,Oregon,city,F,2.32,4.3,25.5,0.2,147900,F,13.9,3942,90.4,899,81.2,S,9253,59850,1469,21,7.3,2.2,17.4,192669,-1.1,847.3,51034,30.6,F,56.3,130691,0.1,F,73.5,4181,-0.3,10.1,13021,1.5,7.5,9150,9223,17692,0.7,10.8,17.9,86,30628,51.9,9253,20504,10.92
Burley ,http://quickfacts.census.gov/qfd/states/16/1611260.html,Cassia County,Idaho,city,S,2.78,7.9,31.8,0.4,111200,S,21.7,3518,77.2,580,73.8,S,10345,11260,S,19.1,10.4,3.3,13.6,0,0.9,1690.9,301816,S,S,63.1,301900,Z,S,78,3885,1.1,33.4,33507,1,19.3,10438,10456,16193,0.7,13.6,16,63.7,34814,50.4,10345,32303,6.12
Plymouth ,http://quickfacts.census.gov/qfd/states/42/4261648.html,Luzerne County,Pennsylvania,borough,S,2.29,1.8,23.4,4.3,84000,S,31.8,2586,92.1,622,81,S,5951,61648,S,21.9,6.5,2,16,0,-0.3,5424.8,D,S,S,50.7,28034,0,S,87.4,3140,-1,3.3,4616,0.2,4.1,5932,5893,18851,0.5,12.9,21.2,90.6,31398,52.6,5951,4639,1.1
Yorkshire ,http://quickfacts.census.gov/qfd/states/51/5188176.html,Prince William County,Virginia,CDP,F,3.15,33,28.8,9.9,239400,F,16.8,2248,57.9,505,79.5,S,7541,88176,669,8.3,9.3,5.7,6,0,X,3125.2,D,16.4,S,63.8,136637,0.1,F,83.3,2401,X,39,NA,0.5,47.8,X,X,29229,7.7,23,38.4,40.3,70000,49,X,8466,2.41
Spring Valley Lake ,http://quickfacts.census.gov/qfd/states/06/0673700.html,San Bernardino County,California,CDP,F,2.97,7.3,23.5,4.9,239700,F,0.4,2905,78.5,656,94.7,F,8220,73700,F,9.5,5.5,5.2,16.5,0,X,2768.6,0,F,F,74.9,0,0.3,F,84.1,3478,X,18.6,NA,0.7,11.4,X,X,24579,4.6,19.7,23.9,68.1,58317,51.2,X,0,2.97
Berryville ,http://quickfacts.census.gov/qfd/states/05/0505560.html,Carroll County,Arkansas,city,S,2.42,10.2,29,0.5,98100,F,19.6,2144,81.7,267,74.6,F,5356,5560,854,17.4,8.2,2.6,14.6,D,1.3,878.5,3856,S,F,66.8,153154,0.4,F,81.5,2155,2.1,24.7,29756,0.8,18.2,5419,5465,16924,0.9,15.5,10.5,71.9,30046,52.6,5352,8764,6.1
Bloomsburg ,http://quickfacts.census.gov/qfd/states/42/4207128.html,Columbia County,Pennsylvania,town,F,2.39,3.5,10.2,6.2,120300,F,46.7,4685,89.6,876,91.8,F,14855,7128,1035,37.4,3.1,1.4,9,D,-2.1,3414.9,58102,S,F,38.3,331697,Z,F,66.2,5121,-2.3,3.4,26056,0.1,4.9,14544,14519,15610,1.6,28.4,16.4,87.8,30310,54.8,14855,46538,4.35
Hamilton ,http://quickfacts.census.gov/qfd/states/39/3933012.html,Butler County,Ohio,city,F,2.48,3.9,24.9,8.5,104900,F,27,24620,84,4726,81.6,S,62477,33012,4014,23.1,8.1,2.9,13.2,1034245,Z,2893,496635,23.7,1.1,56.4,693976,0.1,3.3,82.9,27878,Z,6.4,11153,0.2,6,62284,62258,19959,0.6,14.4,23.3,81.9,39381,51.2,62272,88554,21.6
Morehead ,http://quickfacts.census.gov/qfd/states/21/2153418.html,Rowan County,Kentucky,city,S,2.02,0.4,11.7,3.2,123300,F,36.8,2023,93.2,488,82.2,F,6845,53418,984,33.9,3.8,1.4,11.4,D,0.4,726.2,37123,17,F,46.1,187995,Z,F,73.4,2356,1.1,1.9,24613,0.2,2.2,6869,6917,14083,1.3,37.1,16.1,92.1,27277,53.8,6845,34814,9.43
Langley Park ,http://quickfacts.census.gov/qfd/states/24/2445525.html,Prince George's County,Maryland,CDP,F,3.98,67.6,21.7,16.4,228800,F,73.2,5175,26,246,34.8,57.7,18755,45525,777,18.4,9.3,7.9,3.9,0,X,18868.2,D,S,13.1,27.5,104797,0.5,S,80.6,5367,X,76.6,NA,2.6,77.6,X,X,16535,2.9,9.6,40.6,4.2,53020,39.7,X,13793,0.99
Stratmoor ,http://quickfacts.census.gov/qfd/states/08/0874430.html,El Paso County,Colorado,CDP,F,2.81,6.2,25.7,10.5,136800,F,14,2380,69.3,856,87.1,S,6900,74430,370,26.6,8.9,7.7,9.6,0,X,2436.4,D,S,F,66.8,7994,0.2,F,75.1,2355,X,26.5,NA,1.4,13.1,X,X,17116,1.9,11.2,22.3,56.1,36742,45,X,5211,2.83
Jenison ,http://quickfacts.census.gov/qfd/states/26/2641680.html,Ottawa County,Michigan,CDP,F,2.69,2.2,25,0.8,137400,F,13.8,6456,96,1069,93.3,F,16538,41680,F,5,6.3,1.5,18,0,X,2824.6,0,F,F,86.8,0,Z,F,91.7,6489,X,2.5,NA,0.3,4.3,X,X,23137,0.9,26.6,22.4,94.5,52971,51.8,X,0,5.86
Rowland Heights ,http://quickfacts.census.gov/qfd/states/06/0663218.html,Los Angeles County,California,CDP,S,3.47,56.5,20.3,1.6,486600,F,22.6,14509,23.5,1581,85.6,12.2,48993,63218,5633,10.7,4.8,3.1,13.1,0,X,3746.8,126071,30.1,63.4,65.5,215237,0.1,1.7,89.2,15152,X,27,NA,0.4,72.4,X,X,25206,59.8,36.1,33,10.3,61315,50.9,X,78192,13.08
Breaux Bridge ,http://quickfacts.census.gov/qfd/states/22/2209340.html,St. Martin Parish,Louisiana,city,F,3.03,0.9,28.4,47.3,95300,S,14.4,2533,50,389,70.6,F,8139,9340,925,24.4,8.2,1.3,11.7,0,1.1,1054.8,15164,35.4,4.2,71.4,239833,0,17.2,86.7,3146,1.7,1.3,30092,0.4,20.3,8231,8274,19678,0.6,14.4,24.6,49.3,36424,51.9,8139,14556,7.72
Glenwood ,http://quickfacts.census.gov/qfd/states/17/1730029.html,Cook County,Illinois,village,F,2.72,2.2,25.1,66.7,153700,F,25,3259,27.3,906,91.5,F,8969,30029,650,12,5.2,2.2,15.3,0,0.5,2871.9,5130,43.4,F,83.1,110025,0.1,S,88.9,3505,0.7,7.4,13021,0.1,6.8,9036,9052,25631,0.3,25.7,34.4,24.4,57092,53.7,8990,12607,3.12
Galliano ,http://quickfacts.census.gov/qfd/states/22/2228065.html,Lafourche Parish,Louisiana,CDP,5,2.82,4.7,25,1.7,102700,F,7.1,2744,85,303,66.1,F,7676,28065,806,14.9,7.3,2.8,13,0,X,688.7,D,34.4,F,76.3,126540,0.1,F,85.4,3127,X,7.6,NA,5.4,36.8,X,X,19716,0.5,5.9,31,82.8,44563,50,X,8519,11.15
Lake Station ,http://quickfacts.census.gov/qfd/states/18/1841535.html,Lake County,Indiana,city,F,2.73,4.1,26.4,3.6,82400,F,9.3,4567,79.7,795,76.9,S,12572,41535,527,22.6,7.6,4.1,10.7,0,-1.7,1515.4,8827,33.8,F,71.9,305679,Z,F,88.7,5137,-2.6,28,22926,0.5,16.9,12359,12247,16953,0.3,6.4,25,66.7,36955,50,12572,11224,8.3
Village of Oak Creek (Big Park) ,http://quickfacts.census.gov/qfd/states/04/0480095.html,Yavapai County,Arizona,CDP,F,1.94,8.5,11.5,0.6,441200,F,12.7,3219,92.2,817,96,F,6147,80095,F,8.2,2.6,2,36.7,0,X,1169.3,0,F,F,72.6,0,0.1,F,85.6,4076,X,9.9,NA,0.6,8.5,X,X,53404,1.5,51.1,22.4,86,62556,55.1,X,0,5.26
Falcon Heights ,http://quickfacts.census.gov/qfd/states/27/2720420.html,Ramsey County,Minnesota,city,F,2.24,16.7,19.4,8,278000,F,44.5,2102,73.3,210,97.6,F,5321,20420,405,10.5,6.2,2.5,12.3,0,2.4,2381.8,D,S,F,52.1,29334,Z,F,67,2254,3.2,3,5253,0.5,20.7,5448,5491,31086,15,65.1,19.5,71.5,63313,53.1,5321,10974,2.23
Socorro ,http://quickfacts.census.gov/qfd/states/35/3573540.html,Socorro County,New Mexico,city,F,2.91,7.2,21.7,1.5,110100,F,15.1,2922,80.7,759,78,33.1,9051,73540,623,29.4,6.6,3.4,13.8,0,-1.6,628.9,0,S,F,65.7,106102,0.1,F,87.1,4066,-1.5,54,11850,3.9,37.3,8904,8911,17300,2.1,25.2,13.6,38.2,32629,47.7,9051,22726,14.39
Shoreline ,http://quickfacts.census.gov/qfd/states/53/5363960.html,King County,Washington,city,S,2.44,18.9,19.1,5,352000,S,27.2,21218,71.4,3917,91.4,S,53007,63960,4729,10,4.9,5.1,15.2,0,2.6,4540.6,68919,27.3,7.7,66.1,851896,0.3,2.1,86.1,22787,3.3,6.6,16267,0.8,23.8,54415,54790,34803,15.2,42.6,28.1,67.9,66160,51.3,53031,44933,11.67
Post Falls ,http://quickfacts.census.gov/qfd/states/16/1664810.html,Kootenai County,Idaho,city,S,2.64,1.9,29,0.4,178100,F,18.7,10444,94,2299,93.1,S,27574,64810,3043,15.1,8.6,2.8,11.3,217029,3.9,1959.4,181845,30.7,F,65.8,519881,0.1,F,80.6,11150,6.5,4.6,20540,0.9,3.7,28650,29357,22597,0.7,19.3,20.3,91.2,49524,51.2,27574,39141,14.07
Fountain Inn ,http://quickfacts.census.gov/qfd/states/45/4527070.html,Greenville County,South Carolina,city,F,2.8,5.5,27.2,31.2,113100,F,15.7,2641,63.7,483,87.8,F,7799,27070,922,12.1,8,2,11.4,605235,3.3,988.8,20379,S,F,69.1,52931,0.2,14.5,85.1,3158,4.5,6,7058,0.3,7.5,7899,7991,18709,0.3,18.1,21.3,60.5,44912,53.1,7648,4244,7.89
Laie ,http://quickfacts.census.gov/qfd/states/15/1543250.html,Honolulu County,Hawaii,CDP,F,4.89,19,22.7,0.8,683900,F,23.7,895,29.4,76,96.9,F,6138,43250,F,12.4,6.1,24.9,5.6,0,X,4584,0,F,F,44.9,0,30.1,F,70.5,1093,X,5.2,NA,0.2,28.5,X,X,15258,13.7,43.4,16,27.9,70694,53.3,X,0,1.34
St. Louis ,http://quickfacts.census.gov/qfd/states/29/2965000.html,St. Louis city,Missouri,city,0.6,2.2,6.8,21.2,49.2,121700,S,52.9,139840,43.9,20432,82.3,1.4,319294,65000,23637,27,6.6,2.4,11,10920629,-0.1,5157.5,5042147,28.3,5.1,45.6,2496672,Z,21.4,78,176002,-0.3,3.5,7020,0.3,9.3,319112,318416,22551,2.9,28.5,24.2,42.2,34384,51.7,319356,1059295,61.91
Lebanon ,http://quickfacts.census.gov/qfd/states/21/2144344.html,Marion County,Kentucky,city,F,2.24,4.3,24.5,18.7,99200,F,23.1,2418,74.2,345,78.8,F,5539,44344,512,32.3,7.5,3.2,18.9,D,1.3,1041.6,D,5.9,F,61.5,87099,Z,F,88.8,2674,1.6,4.4,13852,0.1,6.9,5610,5629,16262,1,13.2,13.9,72.9,23733,54.2,5539,10425,5.32
South Euclid ,http://quickfacts.census.gov/qfd/states/39/3973264.html,Cuyahoga County,Ohio,city,F,2.46,6.4,24,40.7,121900,F,9,8868,54.1,1317,93.4,F,22295,73264,1768,9.3,5.5,2.5,12.9,0,-1.2,4793.6,20688,29.8,F,81,134463,Z,18.2,90.5,9607,-1.5,2,6292,0.1,9.5,22035,21968,27343,2,37.9,24.4,53.2,59423,54.4,22295,21254,4.65
Oak Lawn ,http://quickfacts.census.gov/qfd/states/17/1754820.html,Cook County,Illinois,village,F,2.58,15,21.8,5.2,213300,F,33.2,21715,85.2,3536,87.7,8,56690,54820,5341,8.8,5.6,1.9,18,0,0.5,6596.5,36270,28.5,S,82.9,1106185,Z,S,92.2,23517,0.7,14.3,20985,0.2,26.8,56975,57073,28781,2.2,26.4,30.3,77.1,57428,52.4,56687,116378,8.59
Attleboro ,http://quickfacts.census.gov/qfd/states/25/2502690.html,Bristol County,Massachusetts,city,F,2.63,10.1,22.7,3,284600,F,36.2,16354,87.1,2948,87.5,S,43593,2690,3005,8.2,6.4,2.2,12.9,1711299,0.4,1626.1,260103,S,2.1,67,664756,0.1,1.5,87.8,18022,0.7,6.3,15352,0.2,14.6,43781,43886,30511,4.5,30,29.3,84,65767,51.2,43593,83875,26.81
Hernando ,http://quickfacts.census.gov/qfd/states/12/1229425.html,Citrus County,Florida,CDP,F,2.45,3.1,14.9,2.2,94300,F,2.3,3736,94.8,1367,86,S,9054,29425,633,22.2,4.1,1.4,31.6,0,X,285.7,12684,S,F,84,42237,Z,F,87.2,5425,X,3.5,NA,0.4,4.2,X,X,18583,0.5,10.7,26.1,92.5,35393,50,X,D,31.69
Douglasville ,http://quickfacts.census.gov/qfd/states/13/1323900.html,Douglas County,Georgia,city,F,2.57,7.9,28.3,55.9,159400,F,41.8,11601,36,2166,88.7,3.4,30961,23900,4535,17.1,8.2,2.8,6.8,0,1.1,1378.2,57487,38.1,3.8,49.6,1034466,0.1,41.1,73.9,13163,3,7.2,35052,0.2,10,31289,31890,25011,1.8,29.6,30.9,33.4,48378,53.2,30956,145236,22.46
Holiday City-Berkeley ,http://quickfacts.census.gov/qfd/states/34/3432415.html,Ocean County,New Jersey,CDP,F,1.56,8.3,0.1,0.7,146600,F,0.3,7721,97.8,2597,80.1,F,12831,32415,F,10.6,0.1,0.4,72.8,0,X,2230.7,0,F,F,92.5,0,0,F,93.2,9023,X,2.4,NA,0.1,9.8,X,X,25353,0.7,9.9,32,95.8,31934,59.8,X,0,5.75
Doffing ,http://quickfacts.census.gov/qfd/states/48/4820734.html,Hidalgo County,Texas,CDP,F,4.06,43.6,41.2,0.1,67500,F,8.1,1234,98.5,98,41.3,F,5091,20734,F,45.1,11.4,0.4,4,0,X,1174.7,0,F,F,81.8,0,0,F,90.5,1307,X,96.4,NA,0.3,98.5,X,X,8211,Z,3.3,20.2,3.4,25250,50.8,X,0,4.33
West Lafayette ,http://quickfacts.census.gov/qfd/states/18/1882862.html,Tippecanoe County,Indiana,city,F,2.24,20.9,11.8,2.7,174300,F,57.3,11977,76.8,1075,97.4,F,29596,82862,1534,38.2,3.5,2.1,8.7,0,3,3886.5,22867,S,S,33.6,268654,Z,S,57.9,12591,4.3,3.6,8843,0.1,23.1,30485,30875,22651,17.3,71.4,15.1,74.3,30579,45.8,29596,97076,7.62
Bliss Corner ,http://quickfacts.census.gov/qfd/states/25/2506170.html,Bristol County,Massachusetts,CDP,F,2.41,18.3,18.3,0.8,272500,F,29.8,2560,94.3,385,69.3,F,5280,6170,F,8.1,3.7,1.7,25.6,0,X,2644,0,F,F,72.7,0,0,F,93.2,2408,X,1.3,NA,0.2,31.9,X,X,29334,1.3,20,24.2,93.6,50995,53.8,X,0,2
Graham ,http://quickfacts.census.gov/qfd/states/37/3727280.html,Alamance County,North Carolina,city,F,2.49,11.8,25.2,22.8,122900,F,22.7,5582,62.9,949,77.1,F,14153,27280,1078,21,7.4,2.4,14.6,D,0.5,1471.5,52414,38.6,F,62,234814,Z,S,82.5,6523,0.8,15.7,16413,1.2,19.4,14238,14280,20652,1.3,17,20.5,58.2,40939,53.2,14165,25141,9.62
Makaha ,http://quickfacts.census.gov/qfd/states/15/1547450.html,Honolulu County,Hawaii,CDP,F,3.08,3,28.8,1.4,317200,32.1,54.1,2608,17.8,570,83.5,F,8278,47450,418,31.7,9,43.2,10.7,0,X,3406.6,D,38.3,40.4,42.5,D,24,F,83.6,3202,X,18.4,D,0.4,8.2,X,X,15803,12.5,12.2,35.6,15.8,38811,50.8,X,D,2.43
Iselin ,http://quickfacts.census.gov/qfd/states/34/3434470.html,Middlesex County,New Jersey,CDP,F,3.02,42.9,21,6.7,324300,F,33,6321,41.5,884,88.3,F,18695,34470,F,5.7,6.3,3.1,14,0,X,5862.3,0,F,F,64,0,0,F,87.7,6718,X,7.1,NA,0.3,51,X,X,32985,46.1,41.5,34.2,37.4,88236,51.1,X,0,3.19
Winslow ,http://quickfacts.census.gov/qfd/states/04/0483930.html,Navajo County,Arizona,city,18.5,2.82,7.1,26.2,5.7,89300,F,19,2821,53.4,725,78.9,4.6,9655,83930,899,17.4,7.1,5.2,10.2,0,-2.8,785.1,D,34.6,F,55.8,228013,0.1,S,67.6,3362,-1.8,32.8,23210,25.7,32.2,9382,9479,20137,1,13.8,14.3,34.5,43565,44.7,9655,27147,12.3
Watertown ,http://quickfacts.census.gov/qfd/states/55/5583975.html,Dodge County,Wisconsin,city,F,2.52,2.9,25.7,0.8,161300,F,29.4,9034,94,1961,89.1,S,23861,83975,1721,11.7,7.1,1.4,14.5,546383,0.5,1970,73885,S,S,64.3,303860,Z,S,86.9,9745,0.3,7.3,13186,0.3,6.6,23979,23929,22673,0.8,23.2,20.3,89.8,50746,51.6,23863,29432,12.11
Corrales ,http://quickfacts.census.gov/qfd/states/35/3517960.html,Sandoval County,New Mexico,village,S,2.52,5,18.1,1.1,427400,F,1.3,3300,86.4,1097,96.9,S,8329,17960,1174,6.2,3.1,3.1,19.4,0,1.3,790.8,10826,43.4,F,92.9,7252,0,F,93.5,3809,1.5,27,936,1.6,16.9,8441,8455,41491,1.3,50.3,27.6,68.1,87465,51.8,8333,7444,10.53
